Feature,Importance
modal_range_numeric,0.24509951723438556
HSR_classification,0.19339588198534502
ploidy_classification,0.1526013756740921
marker chromosomes (average #),0.11050992548518936
modal chromosome number,0.07758782149509055
SV_sum_all_events,0.02785131875096245
XY_chromosomes,0.01353624112586627
INV_17,0.00758018565222579
ISO_7,0.006513468497781156
TRANS_6,0.0062681162901174646
DER_9,0.006179001232736324
chr_20_loss,0.005516315688630873
TRANS_1,0.005083511709727587
chr_20_gains,0.004333886863186945
ADD_19,0.00412390782447274
TRANS_12,0.004062753820600929
TRANS_8,0.0037916840119649733
DER_16,0.003606202305474986
DIC_13,0.0035679920510472696
ADD_8,0.0034205399375784786
chr_6_loss,0.003380425372840137
ADD_1,0.003342154585551561
DEL_10,0.0032084749198908694
chr_1_loss,0.003084905636005801
TRANS_21,0.0029289844957951796
chr_3_loss,0.0029045548649551437
ISO_17,0.002795609266024104
chr_12_loss,0.0025982262753346673
chr_5_loss,0.0025960197280985994
chr_14_loss,0.0025900607020191823
TRANS_17,0.00252996979620831
chr_8_loss,0.002525024874723953
ADD_4,0.0024227375661371848
chr_16_loss,0.0023598019398073833
TRANS_11,0.002199133579619835
TRANS_3,0.002186191055101677
ADD_13,0.0021511601386686413
chr_4_loss,0.0021005565310683125
chr_10_loss,0.001974903983828141
DER_11,0.0019164633174814448
chr_2_loss,0.0019112807795499068
chr_17_loss,0.0018795090496671473
chr_11_loss,0.0018732873942312745
ADD_10,0.00185034717301752
DEL_11,0.001817937810618077
chr_15_gains,0.0017415634030486977
chr_21_loss,0.0016490980924170387
ADD_14,0.0016356126123238173
ISO_3,0.0015488557003130925
chr_1_gains,0.001545876391565616
DER_8,0.0015396331311097312
DEL_8,0.0014374289495297083
chr_18_loss,0.001386871479426727
TRANS_13,0.0013574978060308018
DER_19,0.0013101623584000602
DER_6,0.0013002035219428605
DEL_3,0.0012984547030372425
chr_5_gains,0.0012654795753395543
DIC_8,0.0012108941317878607
INV_3,0.0011941819185203521
ADD_9,0.001181818579389406
DUP_7,0.0011432506911678304
ADD_5,0.0011112110406035739
INV_18,0.0010542380495660636
DER_17,0.001004687462780756
chr_6_gains,0.000999108468165493
TRANS_7,0.0009820899703257796
TRANS_4,0.0009357894099323543
DEL_2,0.0009026699091466679
chr_7_gains,0.0008189603632661229
DEL_17,0.0008126246422733263
DUP_20,0.0007879447001301377
ISO_14,0.0007868884058468295
INS_1,0.0007852227399536641
ISO_6,0.0007738537863147821
DER_2,0.0007044618740392792
DER_7,0.0006929801186027179
DER_3,0.0006797379671600429
ADD_18,0.0006780679506453004
TRANS_10,0.0006776113905297396
chr_13_loss,0.0006561779717331506
chr_18_gains,0.0006392638881151529
DUP_4,0.0006037283883077641
chr_14_gains,0.0005934594330311176
DER_4,0.0005822080232457523
chr_10_gains,0.0005695304086367926
INS_7,0.0005692727802347575
ISO_2,0.0005511399695659226
chr_9_loss,0.0005477670094981411
DEL_1,0.0005325133191002595
DEL_15,0.0005288168858121239
TRANS_19,0.000527052521006867
INS_9,0.0005128229940891641
ISO_11,0.0005088340232222107
ISO_5,0.0004939266091952913
DER_10,0.00047579838219370413
chr_9_gains,0.0004677696896151983
ISO_13,0.0004445971539015479
INS_8,0.00043889732676620887
DEL_5,0.0004143172140696485
chr_19_gains,0.00039947291321350726
INS_16,0.0003826064629872987
ISO_9,0.00033747819742097876
chr_12_gains,0.0002552552993508659
TRANS_20,0.00025334444641828555
ADD_22,0.00023429874525417467
DEL_16,0.00022913808053549788
TRANS_15,0.00022779020802731858
ISO_1,0.00021044680611199718
ADD_11,0.000199981799303257
INS_18,0.00019798910111873237
DER_5,0.000196934153134641
ADD_21,0.00019611478565517254
DUP_19,0.00018177921894068182
chr_16_gains,0.0001478637334002809
DIC_16,0.00012581871550392098
DER_1,9.758728980222645e-05
chr_15_loss,9.173211638261045e-05
TRANS_5,8.828960954190384e-05
ISO_21,8.42165863158287e-05
DEL_13,8.30837336950758e-05
chr_21_gains,8.231510689605315e-05
TRANS_18,8.035264976642348e-05
TRANS_9,7.437374359251028e-05
DER_13,5.6884327557113404e-05
DIC_12,4.559673053000007e-05
DEL_6,4.5297183437655375e-05
ADD_7,2.4901836041599355e-05
DEL_9,1.6389357414989876e-05
ADD_12,2.332709719603908e-06
ADD_2,4.059423513375996e-08
